labels,ENG,JPN,DEU,NLD,SPA,TUR,POR,ITA
### pack0,140,2797
dicpretxt1,Please close the previous,ショートカットのダイアログを,Bitte zuerst das andere,Sluit vorige,Primero cierre,Lütfen önce ilk,Feche o diálogo de,Chiudi la precedente finestra
dicpretxt2,shortcut dialogue first.,さきにとじてください。,Verknüpfungs-Fenster schließen.,snelkoppeling venster eerst,el diálogo de atajo previo.,kısayol diyaloğunu kapatın.,atalho anterior primeiro.,di dialogo sui collegamenti.
wdgpretxt1,Please close the previous,ウィジェットのダイアログを,Bitte zuerst das andere,Sluit vorige,Primero cierre,Lütfen önce ilk,Feche o diálogo de,Chiudi la precedente finestra
wdgpretxt2,widget dialogue first.,さきにとじてください。,Widget-Fenster schließen.,widget venster eerst,el diálogo de widget previo.,widget diyaloğunu kapatın.,widget anterior primeiro.,di dialogo sui widget.
dicfletxt1,Error while reading file.,ファイルのよみこみエラー。,Fehler beim Laden.,Fout bij lezen.,La tienda falló.,Dosyayı okurken hata oluştu.,Erro ao ler arquivo.,Errore di lettura del file.
wdgfletxt2,Wrong widget format or disc error.,ウィジェットのフォーマットまたはディスクエラー。,Widget- oder Datenträger-Problem.,Ongeldig widgetformaat.,Error de widget o disco.,Yanlış widget formatı veya disk hatası.,Erro de widget ou disco.,Problema del widget o del disco.
dicfletxt2,Wrong icon format or disc error.,アイコンのフォーマットまたはディスクエラー。,Icon- oder Datenträger-Problem.,Ongeldig pictogramformaat.,Error de icono o disco.,Yanlış simge formatı veya disk hatası.,Erro de ícone ou disco.,Problema dell’icona o del disco.
wdgdeltxt1,Are you sure you want to delete,このウィジェットを,Soll dieses Widget wirklich,Wilt u deze,¿Seguro que quieres borrar,Bu widget’ı silmek İstediğinize,Tem certeza que deseja,Sicuro di voler eliminare
wdgdeltxt2,this widget?,さくじょしてもよろしいですか?,gelöscht werden?,Widget verwijderen?,este widget?,emin misiniz?,excluir este widget?,questo widget?
dicdeltxt1,Are you sure you want to delete,さくじょしても,Bitte Löschen bestätigen für:,Het volgende te verwijderen:,¿Seguro que quieres borrar?,Silmek istediğinize emin misiniz,Tem certeza que deseja excluir,Sei sicuro di voler cancellare
dicmemtxt1,Memory full.,メモリがいっぱいです。,Speicher voll,Geheugen vol,Memoria llena.,Bellek doldu.,Memória cheia.,Memoria esaurita
dicmemtxt2,There is no remaining memory,このリンクをほぞんするための,Die Verknüpfung konnte nicht,Geen vrij- geheugen meer,No hay memoria suficiente,Bu linki kaydetmek için,Não há memória disponível,Non c'è più memoria
dicmemtxt3,available for saving this link.,メモリがたりません。,angelegt werden.,om deze link te bewaren,para guardar este enlace.,yeterli bellek yok.,para salvar este link.,per salvare questo link.
wdgmemtxt2,There is no remaining memory,このウィジェットをついかするための,Das Widget konnte nicht,Geen vrij- geheugen meer,No hay memoria suficiente,Bu widget’ı eklemek için,Não há memória disponível,Non c'è più memoria
wdgmemtxt3,available for adding this widget.,メモリがたりません。,hinzugefügt werden.,voor de nieuwe widget ,para añadir este widget.,yeterli bellek yok.,para adicionar este widget.,per aggiungere questo widget.
dicfcttxt1,Folders cannot be cut.,フォルダはカットできません。,Ordner nicht ausschneidbar. Bitte,Map(en) kunnen niet worden geknipt,Las carpetas no pueden cortarse.,Klasörler kesilemez.,Pastas não podem ser cortadas.,Le cartelle non possono essere
dicfcttxt2,"Please use copy and paste,",コピーとペーストをつかって、,"Kopieren und Einfügen, dann",Gebruik knippen en plakken,Usa copiar y pegar,"Lütfen kopyalayın ve yapıştırın,","Use copiar e colar, e então",tagliate. Usa copia e incolla e
dicfcttxt3,and then delete the old folder.,ふるいフォルダをさくじょしてください。,den alten Ordner löschen.,en daarna verwijder de oude folder,y entonces borra la carpeta antigua.,sonra klasörü silin.,exclua a pasta antiga.,poi cancella la vecchia cartella.
